CALL_OI_Lots,CALL_Chng_in_OI,CALL_Volume,CALL_Abs_Chng,CALL_Bid_Qty,CALL_Bid_Price,CALL_Ask_Price,CALL_Ask_Qty,CALL_LTP,Strike_Price,PUT_LTP,PUT_Bid_Qty,PUT_Bid_Price,PUT_Ask_Price,PUT_Ask_Qty,PUT_Abs_Chng,PUT_Volume,PUT_Chng_in_OI,PUT_OI_Lots
0,0,0,0,0,0,0,0,0,90000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,95000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,100000.0,118.0,0,0,0,0,1.5,8,2,6
0,0,0,0,0,0,0,0,0,105000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,110000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,115000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,120000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,125000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,130000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,135000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,140000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,150000.0,0,0,0,0,0,-0.5,0,0,0
6,0,0,-225000.0,0,0,0,0,0,160000.0,124.0,0,0,0,0,0,3,0,5
2,0,0,-244901.5,0,0,0,0,0,165000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,170000.0,125.5,0,0,0,0,7.5,4,1,5
0,0,0,0,0,0,0,0,0,175000.0,0,0,0,0,0,-0.5,0,0,1
1,0,0,-229950.5,0,0,0,0,0,180000.0,126.5,0,0,0,0,0,1,1,6
0,0,0,0,0,0,0,0,0,185000.0,0,0,0,0,0,-0.5,0,0,0
1,0,0,-260000.0,0,0,0,0,0,190000.0,595.0,0,0,0,0,82.5,57,25,79
3,0,0,-214999.5,0,0,0,0,0,195000.0,0,0,0,0,0,-0.5,0,0,2
0,0,0,-210016.0,0,0,0,0,0,200000.0,1015.5,0,0,0,0,19.0,1380,420,792
1,0,0,-205032.0,0,0,0,0,0,205000.0,0,0,0,0,0,-0.5,0,0,0
0,0,0,0,0,0,0,0,0,210000.0,1640.5,0,0,0,0,64.5,121,35,199
1,0,0,-195065.0,0,0,0,0,0,215000.0,0,0,0,0,0,-125.5,0,0,14
3,0,0,-195000.0,0,0,0,0,0,220000.0,2524.5,0,0,0,0,18.0,156,14,150
1,0,0,-185098.5,0,0,0,0,0,225000.0,624.5,0,0,0,0,0,1,-1,9
13,0,2,-5500.0,0,0,0,0,140000.0,230000.0,3723.5,0,0,0,0,21.5,188,3,174
7,0,0,-175132.5,0,0,0,0,0,235000.0,1123.0,0,0,0,0,0,2,-1,6
14,-1,1,0,0,0,0,0,82888.0,240000.0,5291.5,0,0,0,0,74.5,333,-5,211
0,0,0,0,0,0,0,0,0,245000.0,0,0,0,0,0,-7.0,0,0,5
107,-25,43,-7008.0,0,0,0,0,78240.0,250000.0,7277.0,0,0,0,0,152.5,2503,-3,864
14,0,0,-142119.5,0,0,0,0,0,255000.0,0,0,0,0,0,-18.0,0,0,4
151,-23,53,-3413.5,0,0,0,0,64559.5,260000.0,9720.0,0,0,0,0,224.0,1505,-73,455
16,1,6,-29961.5,0,0,0,0,71777.0,265000.0,0,0,0,0,0,-42.5,0,0,8
127,-10,67,423.5,0,0,0,0,81700.0,270000.0,12651.5,0,0,0,0,388.0,2416,65,544
16,0,0,-130000.0,0,0,0,0,0,275000.0,14299.0,0,0,0,0,1397.0,77,11,34
42,-11,35,-4752.0,0,0,0,0,65994.5,280000.0,16092.5,0,0,0,0,251.5,3754,92,682
18,-4,5,-14979.0,0,0,0,0,90000.0,285000.0,0,0,0,0,0,-1920.0,0,0,3
32,-7,20,9112.0,0,0,0,0,89749.0,290000.0,20053.0,0,0,0,0,330.0,3405,-52,446
26,0,0,-115680.5,0,0,0,0,0,295000.0,17587.0,0,0,0,0,4079.5,50,8,20
394,121,891,519.0,0,0,0,0,37500.0,300000.0,24533.5,0,0,0,0,363.0,11261,-203,1541
6,0,2,-19376.0,0,0,0,0,36334.0,305000.0,26966.0,0,0,0,0,9987.5,34,-5,11
100,42,173,-288.0,0,0,0,0,30930.0,310000.0,29524.5,0,0,0,0,505.5,3067,12,390
21,0,0,-94769.5,0,0,0,0,0,315000.0,18428.5,0,0,0,0,119.0,18,1,9
780,91,1728,-2522.0,0,0,0,0,24500.0,320000.0,35011.0,0,0,0,0,410.0,5404,128,1116
24,6,29,-1458.5,0,0,0,0,22602.0,325000.0,37900.0,0,0,0,0,7471.5,494,-37,79
